id_instance,frequency_instance,price_entity_id_excel,currency_frequency_excel
harrier-2.0,GBP-nan-Not_applicable,,
hawk,GBP-nan-Not_applicable,,
end-user-support,GBP-1.0-Month,,
hawk-2.0,GBP-nan-Not_applicable,,
,,giftcards-annual-eur,EUR-Annual
,,giftcards-eur,EUR-Monthly
,,giftcards-annual-gbp,GBP-Annual
,,giftcards-gbp,GBP-Monthly
,,giftcards-annual-usd,USD-Annual
,,giftcards-usd,USD-Monthly
,,loyalty-annual-eur,EUR-Annual
,,loyalty-eur,EUR-Monthly
,,loyalty-annual-gbp,GBP-Annual
,,loyalty-gbp,GBP-Monthly
,,loyalty-annual-usd,USD-Annual
,,loyalty-usd,USD-Monthly
,,marketingautomation-annual-eur,EUR-Annual
,,marketingautomation-eur,EUR-Monthly
,,marketingautomation-annual-gbp,GBP-Annual
,,marketingautomation-gbp,GBP-Monthly
,,marketingautomation-annual-usd,USD-Annual
,,marketingautomation-usd,USD-Monthly
,,reviews-annual-eur,EUR-Annual
,,reviews-eur,EUR-Monthly
,,reviews-annual-gbp,GBP-Annual
,,reviews-gbp,GBP-Monthly
,,reviews-annual-usd,USD-Annual
,,reviews-usd,USD-Monthly
,,zapier-annual-eur,EUR-Annual
,,zapier-eur,EUR-Monthly
,,zapier-annual-gbp,GBP-Annual
,,zapier-gbp,GBP-Monthly
,,zapier-annual-usd,USD-Annual
,,zapier-usd,USD-Monthly
,,phonesupport-annual-eur,EUR-Annual
,,phonesupport-eur,EUR-Monthly
,,phonesupport-annual-gbp,GBP-Annual
,,phonesupport-gbp,GBP-Monthly
,,phonesupport-annual-usd,USD-Annual
,,phonesupport-usd,USD-Monthly
,,10-Additional-APs-(Recurring),GBP-Monthly
,,10-Additional-APs-(Recurring)-Bespoke,GBP-Monthly
,,20-Additional-APs-(Recurring),GBP-Monthly
,,20-Additional-APs-(Recurring)-Bespoke,GBP-Monthly
,,5-Additional-APs-(Recurring),GBP-Monthly
,,5-Additional-APs-(Recurring)-Bespoke,GBP-Monthly
,,custom-integration_an,GBP-Annual
,,custom-integration,GBP-Monthly
,,end-user-support_hour,GBP-Monthly
,,Halfhour_support,GBP-Monthly
,,marketing-credits-large_an,GBP-Annual
,,marketing-credits-large,GBP-Monthly
,,marketing-credits-medium_an,GBP-Annual
,,marketing-credits-medium,GBP-Monthly
,,marketing-credits-small_an,GBP-Annual
,,marketing-credits-small,GBP-Monthly
,,marketing-per-unit,GBP-Monthly
,,stories-annual-eur,EUR-Annual
,,stories-eur,EUR-Monthly
,,stories-annual-gbp,GBP-Annual
,,stories-gbp,GBP-Monthly
,,stories-annual-usd,USD-Annual
,,stories-usd,USD-Monthly
,,reviews-an,GBP-Annual
,,free-broadband,GBP-Monthly
,,content-filter_an,GBP-Annual
,,end_user_support,GBP-Monthly
,,contacts-annual-eur,EUR-Annual
,,contacts-eur,EUR-Monthly
,,contacts-annual-gbp,GBP-Annual
,,contacts-gbp,GBP-Monthly
,,contacts-annual-usd,USD-Annual
,,contacts-usd,USD-Monthly
,,venues-annual-eur,EUR-Annual
,,venues-eur,EUR-Monthly
,,venues-annual-gbp,GBP-Annual
,,venues-gbp,GBP-Monthly
,,venues-annual-usd,USD-Annual
,,venues-usd,USD-Monthly
