id_instance,frequency_instance,price_entity_id_excel,currency_frequency_excel
harrier-2.0,GBP-nan-Not_applicable,,
hawk,GBP-nan-Not_applicable,,
hawk-2.0,GBP-nan-Not_applicable,,
,,enterprise-annual-eur,EUR-Annual
,,enterprise-eur,EUR-Monthly
,,enterprise-annual-gbp,GBP-Annual
,,enterprise-gbp,GBP-Monthly
,,enterprise-annual-usd,USD-Annual
,,enterprise-usd,USD-Monthly
,,growth-annual-eur,EUR-Annual
,,growth-eur,EUR-Monthly
,,growth-annual-gbp,GBP-Annual
,,growth-gbp,GBP-Monthly
,,growth-annual-usd,USD-Annual
,,growth-usd,USD-Monthly
,,starter-annual-eur,EUR-Annual
,,starter-eur,EUR-Monthly
,,starter-annual-gbp,GBP-Annual
,,starter-gbp,GBP-Monthly
,,starter-annual-usd,USD-Annual
,,starter-usd,USD-Monthly
,,demo,GBP-Monthly
,,event-annual-recurring,GBP-Annual
,,free,GBP-Monthly
,,managednet-fc80,GBP-Monthly
,,managednet-gf160,GBP-Monthly
,,managednet-sg80,GBP-Monthly
,,no-plan,GBP-Monthly
,,unifi-ap-hosting_an,GBP-Annual
,,unifi-ap-hosting,GBP-Monthly
,,unifi-hosting,GBP-Monthly
,,3rd-party-integration,GBP-Monthly
,,all-in_an,GBP-Annual
,,all-in,GBP-Monthly
,,enterprise-marketing-large,GBP-Monthly
,,enterprise-marketing-medium,GBP-Monthly
,,enterprise-marketing-small,GBP-Monthly
,,marketing-large,GBP-Monthly
,,marketing-medium,GBP-Monthly
,,marketing-small,GBP-Monthly
,,partner_subscription,GBP-Monthly
,,premium_an,GBP-Annual
,,premium,GBP-Monthly
,,reviews,GBP-Monthly
,,springo-go-12-plan,GBP-Monthly
,,springo-go-36-plan-v1-5,GBP-Monthly
,,springo-go-plan,GBP-Monthly
,,springo-go-plan-v1-5,GBP-Monthly
,,springo-go-plan-v1-3-Bespoke,GBP-Monthly
,,springo-go-plus-12-plan-v1-5,GBP-Monthly
,,springo-go-plus-36-plan-v1-5,GBP-Monthly
,,springo-go-plus-plan,GBP-Monthly
,,springo-go-plus-plan-v1-3-Bespoke,GBP-Monthly
,,springo-ready-12-plan,GBP-Monthly
,,springo-ready-12-plan-v1-5,GBP-Monthly
,,springo-ready-plan-2021-04,GBP-Monthly
,,springo-ready-plan-v1-5,GBP-Monthly
,,springo-set-12-plan,GBP-Monthly
,,springo-set-12-plan-v1-5,GBP-Monthly
,,springo-set-36-plan-v1-5,GBP-Monthly
,,springo-set-plan-Reseller,GBP-Monthly
,,springo-set-plan-v1-5,GBP-Monthly
,,springo-set-plan-v1-3a,GBP-Monthly
,,springo-start,GBP-Monthly
,,springo-track-and-trace,GBP-Monthly
,,test-cm,GBP-Monthly
,,unfi-server-502,GBP-Monthly
,,GH_enterprise,GBP-Monthly
,,GH_loc_5,GBP-Annual
,,lite_an,GBP-Annual
,,lite,GBP-Monthly
,,medium_an,GBP-Annual
,,medium,GBP-Monthly
,,starter_an,GBP-Annual
,,starter,GBP-Monthly
,,enterprise,GBP-Annual
